Tag #,TRT,Igg,TSP,Wt 0,wt 0.5,Wt 1,wt 1.5,Wt 2,wt 2.5,WT 3,wt 3.5,WT 4,WT 4.5,WT 5,Wt 5.5,Wt 6,Wt 6.5,Wt 7,Wt7 7.5,Wt 8,BIN1,BIN2
30,A,C,5.6,106.5,103,104,100,100,99,102,109.5,112,114,119,120,128,128,132,132,150,1,0
34,B,F,4,86.5,79,74,69.5,73,71,76,76,79,82.5,86,96,90,100,108,104,108,1,0
42,A,C,5.1,79,76,71,71,70,71,79,75,79,82,86,83,90,92,99,100,105,1,0
43,D,P,4.3,85.5,82,81,80,83.5,84.5,87,89,92,96,101,109,116,123,138,142,153,0,1
44,C,F,4.2,90,83,82,82,80,88,84,87.5,91,95,99,100,101,112,108,116,126,0,1
45,D,F,4.2,97,89,89,85,87.5,87,94,94.5,99,97,98,100,107,111,117,117,123,0,1
46,D,P,4.7,91,91,89,87.5,86,90,94,103,107.5,107,106,113,115,126,140,145,152,0,1
48,A,F,4.5,89.5,87,82,84.5,85,86,94.5,98,100,103,100,109,113,117,119,128,130,1,0
49,C,F,4.4,85,82,83,80,81.5,86,90,94,97.5,103,110,114,124,133,133,141,141,0,1
51,C,P,4.9,100,95,95,92.5,92.5,96,100,100,105,110,122,118,122,128,143,146,152,0,1
52,C,F,4.8,99,95,93,90.5,90,91.5,96.5,96,101,101.5,103,98,111,116,126,128,139,0,1
53,C,P,4.5,87.5,80,80,80.5,81,82,86.5,88,93.5,94,96,95,100,103,109,112,126,0,1
54,D,P,5.4,111.5,105,106,103,105,103.5,108.5,116,125,125.5,129,136,139,151,156,158,167,0,1
55,C,C,6,102,100,98,96,100,98,101,106,110,117,121,131,137,146,157,157,171,0,1
57,D,P,5.7,99,91,89,82,92,92,95,97.5,105,105,112,116,115,121,130,128,140,0,1
59,A,F,5,95,89,85,82,86.5,91,98,103.5,110,113.5,125,122,133,147,150,156,168,1,0
60,D,F,4.9,90,83,86,85.5,86,86.5,91.5,90,92,95,99,100,104,110,115,117,151,0,1
61,A,F,4.7,103.5,98,96,95,100,91,92.5,90,95,96,101,102,106,102,110,113,119,1,0
62,A,P,4.5,97,89,97,91,90,92,98,103,108,109,115,116,127,133,143,136,150,1,0
63,B,C,5.5,90,87,85,82.5,85.5,86,94,103,95,105.5,106,109,122,118,133,137,139,1,0
64,B,C,5.3,89.5,86,84,80,80,85,92.5,97.5,102.5,105.5,110,116,116,126,125,132,138,1,0
67,C,P,5.4,106,106,106,100,100,93,99,103,111,116,124,138,137,148,154,157,165,0,1
75,B,P,5.1,81.5,91,88,85,88,91,97,99,104,111.5,116,125,133,135,140,142,151,1,0
78,C,P,4.8,82,86,83.5,76,78,81,86,90.5,97,100,108,111,116,133,137,138,150,0,1
79,B,P,4.5,90,86,82,82,80.5,88,88,89,98.5,97.5,103,103,107,112,116,115,124,1,0
80,D,C,5.3,88,88,85,82,82,81.5,84,86,92,94,89,96,100,109,107,121,121,0,1
81,C,F,4.8,96,95,95,92,92,90.5,92,93.5,95,95,93,103,103,108,108,108,120,0,1
82,B,F,4.5,101,87,95,94,94.5,96,100.5,104.5,110,107,115,119,128,131,137,145,151,1,0
83,A,F,5,88,88,91,86,85.5,88,94,96,102.5,107,110,119,124,131,135,148,154,1,0
84,D,C,4.9,100,100,103,97,98,98,100.5,107,112,115,124,126,131,143,163,154,168,0,1
85,A,F,4.8,92,94,96,91,89,91,94.5,97.5,96,101.5,104,114,125,130,137,147,153,1,0
86,B,F,5,98,99,97.5,94,98,101,107,111.5,116.5,121,129,126,134,144,153,154,158,1,0
88,C,F,5.2,93,87,87,85,88,94,100.5,104.5,113,111,116,120,126,135,139,143,152,0,1
89,B,C,5.6,99,95,94,91,90.5,95,97,103,111.5,116,125,130,138,141,145,145,150,1,0
91,D,F,4.5,89,91,92,86,87,86.5,93.5,99,104,105,109,114,113,124,133,138,149,0,1
93,B,F,4,83.5,78,76,74,76,77,83,85,90,93,94,99,108,111,118,117,130,1,0
95,D,P,4.2,106,107,106,102.5,102,109,112.5,118,125,128,134,145,145,153,163,167,177,0,1
96,A,P,5,100,99,96,92,93,94,100,101.5,104,107.5,112,112,118,121,133,135,132,1,0
97,D,P,5.9,94,86,86,83,83,85,91,94,98,101.5,100,107,110,109,123,126,135,0,1
98,B,P,4.1,88,88,88,87,90,92,94.5,100,109,111,118,119,132,134,145,145,156,1,0
99,A,P,5,83,86,83,80,79,80,85.5,87,91,94,97,103,101,106,108,117,128,1,0
100,B,F,4.6,99,94,92,90,93,96,98,97.5,101,100.5,100,102,103,111,115,122,130,1,0
101,D,F,4.5,82.5,80,80,78,77.5,80,82.5,87,91.5,95.5,98,94,102,109,115,112,124,0,1
150,C,P,5.2,88,84,84,80,78.5,80,86.5,87.5,97,100,107,111,114,123,131,136,147,0,1
