IND,YEAR,EMP,WAGE,CAP,INDOUTPT,N,W,K,YS,REC,YEARM1,ID,NL1,NL2,WL1,KL1,KL2,YSL1,YSL2
7,1977,5.0409999,13.1515999,0.5894,95.7071991,1.6176045,2.5765433,-0.5286502,4.5612936,1,1977,1, , , , , , , 
7,1978,5.5999999,12.3017998,0.6318,97.3569031,1.7227666,2.5097456,-0.4591824,4.5783834,2,1977,1,1.6176045, ,2.5765433,-0.5286502, ,4.5612936, 
7,1979,5.0149999,12.8395004,0.6771,99.6082993,1.6124334,2.5525265,-0.3899363,4.6012454,3,1978,1,1.7227666,1.6176045,2.5097456,-0.4591824,-0.5286502,4.5783834,4.5612936
7,1980,4.7150002,13.8038998,0.6171,100.5501022,1.5507489,2.6249511,-0.4827242,4.6106563,4,1979,1,1.6124334,1.7227666,2.5525265,-0.3899363,-0.4591824,4.6012454,4.5783834
7,1981,4.0929999,14.2896996,0.5076,99.5580978,1.4092782,2.659539,-0.6780615,4.6007414,5,1980,1,1.5507489,1.6124334,2.6249511,-0.4827242,-0.3899363,4.6106563,4.6012454
7,1982,3.1659999,14.8681002,0.4229,98.615097,1.1524689,2.699218,-0.8606195,4.5912242,6,1981,1,1.4092782,1.5507489,2.659539,-0.6780615,-0.4827242,4.6007414,4.6106563
7,1983,2.9360001,13.7784004,0.392,100.030098,1.0770482,2.6231022,-0.9364935,4.6054711,7,1982,1,1.1524689,1.4092782,2.699218,-0.8606195,-0.6780615,4.5912242,4.6007414
7,1977,71.3190002,14.7909002,16.9363003,95.7071991,4.2671628,2.6940122,2.8294592,4.5612936,8,1983,2, , , , , , , 
7,1978,70.6429977,14.1035995,17.2422009,97.3569031,4.2576389,2.64643,2.8473599,4.5783834,9,1977,2,4.2671628, ,2.6940122,2.8294592, ,4.5612936, 
7,1979,70.9179993,14.9533997,17.5412998,99.6082993,4.2615242,2.7049387,2.864558,4.6012454,10,1978,2,4.2576389,4.2671628,2.64643,2.8473599,2.8294592,4.5783834,4.5612936
