id,numyrs,year,choice,educ,expwc,expbc,expser,manuf,black,enroll,employ,attrit,exper,expersq,status
1,9,81,2,10,0,0,0,0,1,0,0,0,0,0,2
1,9,82,2,10,0,0,0,0,1,0,0,0,0,0,2
1,9,83,2,10,0,0,0,0,1,0,0,0,0,0,2
1,9,84,1,10,0,0,0,0,1,1,0,0,0,0,1
1,9,85,2,11,0,0,0,0,1,0,0,0,0,0,2
1,9,86,2,11,0,0,0,0,1,0,0,0,0,0,2
1,9,87,2,11,0,0,0,0,1,0,0,0,0,0,2
2,9,81,2,12,0,0,0,0,1,0,0,0,0,0,2
2,9,82,4,12,0,0,0,0,1,0,1,0,0,0,3
2,9,83,4,12,0,1,0,0,1,0,1,0,1,1,3
2,9,84,5,12,0,2,0,0,1,0,1,0,2,4,3
2,9,85,5,12,0,2,1,0,1,0,1,0,3,9,3
2,9,86,4,12,0,2,2,0,1,0,1,0,4,16,3
2,9,87,4,12,0,3,2,0,1,0,1,0,5,25,3
3,5,81,1,12,0,0,0,0,1,1,0,1,0,0,1
4,11,81,2,9,0,0,0,0,1,0,0,0,0,0,2
4,11,82,2,9,0,0,0,0,1,0,0,0,0,0,2
4,11,83,2,9,0,0,0,0,1,0,0,0,0,0,2
4,11,84,2,9,0,0,0,0,1,0,0,0,0,0,2
4,11,85,2,9,0,0,0,0,1,0,0,0,0,0,2
4,11,86,2,9,0,0,0,0,1,0,0,0,0,0,2
4,11,87,5,9,0,0,0,0,1,0,1,0,0,0,3
5,9,81,3,9,0,1,0,0,1,0,1,0,1,1,3
5,9,82,5,9,1,1,0,0,1,0,1,0,2,4,3
5,9,83,5,9,1,1,1,0,1,0,1,0,3,9,3
5,9,84,3,9,1,1,2,0,1,0,1,0,4,16,3
5,9,85,5,9,2,1,2,0,1,0,1,0,5,25,3
5,9,86,5,9,2,1,3,0,1,0,1,0,6,36,3
5,9,87,3,9,2,1,4,0,1,0,1,0,7,49,3
6,9,81,2,8,0,1,0,0,1,0,0,0,1,1,2
6,9,82,4,8,0,1,0,0,1,0,1,0,1,1,3
6,9,83,4,8,0,2,0,0,1,0,1,0,2,4,3
6,9,84,4,8,0,3,0,0,1,0,1,0,3,9,3
6,9,85,2,8,0,4,0,0,1,0,0,0,4,16,2
6,9,86,2,8,0,4,0,0,1,0,0,0,4,16,2
6,9,87,2,8,0,4,0,0,1,0,0,0,4,16,2
7,11,81,2,10,0,1,0,0,1,0,0,0,1,1,2
7,11,82,2,10,0,1,0,0,1,0,0,0,1,1,2
7,11,83,2,10,0,1,0,0,1,0,0,0,1,1,2
7,11,84,2,10,0,1,0,0,1,0,0,0,1,1,2
7,11,85,4,10,0,1,0,0,1,0,1,0,1,1,3
7,11,86,4,10,0,2,0,1,1,0,1,0,2,4,3
7,11,87,4,10,0,3,0,1,1,0,1,0,3,9,3
8,10,81,4,12,0,0,0,1,1,0,1,0,0,0,3
8,10,82,4,12,0,1,0,1,1,0,1,0,1,1,3
8,10,83,4,12,0,2,0,1,1,0,1,0,2,4,3
8,10,84,5,12,0,3,0,0,1,0,1,0,3,9,3
8,10,85,5,12,0,3,1,0,1,0,1,0,4,16,3
8,10,86,5,12,0,3,2,0,1,0,1,0,5,25,3
8,10,87,5,12,0,3,3,0,1,0,1,0,6,36,3
9,9,81,1,11,0,0,0,0,1,1,0,0,0,0,1
9,9,82,2,12,0,0,0,0,1,0,0,0,0,0,2
9,9,83,4,12,0,0,0,0,1,0,1,0,0,0,3
9,9,84,4,12,0,1,0,0,1,0,1,0,1,1,3
9,9,85,5,12,0,2,0,0,1,0,1,0,2,4,3
9,9,86,5,12,0,2,1,0,1,0,1,0,3,9,3
9,9,87,2,12,0,2,2,0,1,0,0,0,4,16,2
10,11,81,2,11,0,1,0,0,1,0,0,0,1,1,2
10,11,82,2,11,0,1,0,0,1,0,0,0,1,1,2
10,11,83,2,11,0,1,0,0,1,0,0,0,1,1,2
10,11,84,5,11,0,1,0,1,1,0,1,0,1,1,3
10,11,85,5,11,0,1,1,1,1,0,1,0,2,4,3
10,11,86,2,11,0,1,2,0,1,0,0,0,3,9,2
10,11,87,2,11,0,1,2,0,1,0,0,0,3,9,2
11,9,81,2,11,0,0,0,0,1,0,0,0,0,0,2
11,9,82,2,11,0,0,0,0,1,0,0,0,0,0,2
11,9,83,5,11,0,0,0,0,1,0,1,0,0,0,3
11,9,84,5,11,0,0,1,0,1,0,1,0,1,1,3
11,9,85,5,11,0,0,2,0,1,0,1,0,2,4,3
11,9,86,5,11,0,0,3,0,1,0,1,0,3,9,3
11,9,87,5,11,0,0,4,0,1,0,1,0,4,16,3
12,11,81,2,14,0,0,0,0,1,0,0,0,0,0,2
12,11,82,2,14,0,0,0,0,1,0,0,0,0,0,2
12,11,83,4,14,0,0,0,1,1,0,1,0,0,0,3
12,11,84,4,14,0,1,0,1,1,0,1,0,1,1,3
12,11,85,4,14,0,2,0,1,1,0,1,0,2,4,3
12,11,86,4,14,0,3,0,0,1,0,1,0,3,9,3
12,11,87,4,14,0,4,0,1,1,0,1,0,4,16,3
13,11,81,2,11,0,0,0,0,1,0,0,0,0,0,2
13,11,82,2,11,0,0,0,0,1,0,0,0,0,0,2
13,11,83,2,11,0,0,0,0,1,0,0,0,0,0,2
13,11,84,2,11,0,0,0,0,1,0,0,0,0,0,2
13,11,85,2,11,0,0,0,0,1,0,0,0,0,0,2
13,11,86,5,11,0,0,0,0,1,0,1,0,0,0,3
13,11,87,,11,0,0,1,,1,0,0,0,1,1,
14,10,81,2,11,0,0,0,0,1,0,0,0,0,0,2
14,10,82,2,11,0,0,0,0,1,0,0,0,0,0,2
14,10,83,2,11,0,0,0,0,1,0,0,0,0,0,2
14,10,84,5,11,0,0,0,0,1,0,1,0,0,0,3
14,10,85,2,11,0,0,1,0,1,0,0,0,1,1,2
14,10,86,2,11,0,0,1,0,1,0,0,0,1,1,2
14,10,87,5,11,0,0,1,0,1,0,1,0,1,1,3
15,9,81,2,11,0,0,0,0,1,0,0,0,0,0,2
15,9,82,2,11,0,0,0,0,1,0,0,0,0,0,2
15,9,83,2,11,0,0,0,0,1,0,0,0,0,0,2
15,9,84,2,11,0,0,0,0,1,0,0,0,0,0,2
15,9,85,2,11,0,0,0,0,1,0,0,0,0,0,2
15,9,86,2,11,0,0,0,0,1,0,0,0,0,0,2
15,9,87,2,11,0,0,0,0,1,0,0,0,0,0,2
16,9,81,2,11,0,0,1,0,1,0,0,0,1,1,2
16,9,82,1,11,0,0,1,0,1,1,0,0,1,1,1
16,9,83,2,12,0,0,1,0,1,0,0,0,1,1,2
16,9,84,1,12,0,0,1,0,1,1,0,0,1,1,1
16,9,85,1,13,0,0,1,0,1,1,0,0,1,1,1
16,9,86,1,14,0,0,1,0,1,1,0,0,1,1,1
16,9,87,5,15,0,0,1,0,1,0,1,0,1,1,3
18,10,81,1,12,0,0,0,0,1,1,0,0,0,0,1
18,10,82,3,13,0,0,0,1,1,0,1,0,0,0,3
18,10,83,3,13,1,0,0,1,1,0,1,0,1,1,3
18,10,84,2,13,2,0,0,0,1,0,0,0,2,4,2
18,10,85,1,13,2,0,0,0,1,1,0,0,2,4,1
18,10,86,1,14,2,0,0,0,1,1,0,0,2,4,1
18,10,87,1,15,2,0,0,0,1,1,0,0,2,4,1
19,10,81,4,11,0,0,0,0,1,0,1,0,0,0,3
19,10,82,2,11,0,1,0,0,1,0,0,0,1,1,2
19,10,83,4,11,0,1,0,1,1,0,1,0,1,1,3
19,10,84,4,11,0,2,0,1,1,0,1,0,2,4,3
19,10,85,4,11,0,3,0,1,1,0,1,0,3,9,3
19,10,86,2,11,0,4,0,0,1,0,0,0,4,16,2
19,10,87,4,11,0,4,0,1,1,0,1,0,4,16,3
20,9,81,1,12,0,0,0,0,1,1,0,0,0,0,1
20,9,82,1,13,0,0,0,0,1,1,0,0,0,0,1
20,9,83,1,14,0,0,0,0,1,1,0,0,0,0,1
20,9,84,2,15,0,0,0,0,1,0,0,0,0,0,2
20,9,85,1,15,0,0,0,0,1,1,0,0,0,0,1
20,9,86,4,16,0,0,0,0,1,0,1,0,0,0,3
20,9,87,4,16,0,1,0,0,1,0,1,0,1,1,3
21,8,81,1,10,0,0,0,0,1,1,0,0,0,0,1
21,8,82,2,11,0,0,0,0,1,0,0,0,0,0,2
21,8,83,1,11,0,0,0,0,1,1,0,0,0,0,1
21,8,84,2,12,0,0,0,0,1,0,0,0,0,0,2
21,8,85,5,12,0,0,0,0,1,0,1,0,0,0,3
21,8,86,2,12,0,0,1,0,1,0,0,0,1,1,2
21,8,87,2,12,0,0,1,0,1,0,0,0,1,1,2
22,10,81,1,13,0,0,0,0,1,1,0,0,0,0,1
22,10,82,1,14,0,0,0,0,1,1,0,0,0,0,1
22,10,83,3,15,0,0,0,0,1,0,1,0,0,0,3
22,10,84,1,15,1,0,0,0,1,1,0,0,1,1,1
22,10,85,3,16,1,0,0,1,1,0,1,0,1,1,3
22,10,86,3,16,2,0,0,1,1,0,1,0,2,4,3
22,10,87,3,16,3,0,0,1,1,0,1,0,3,9,3
23,9,81,1,12,0,0,0,0,1,1,0,0,0,0,1
23,9,82,1,13,0,0,0,0,1,1,0,0,0,0,1
23,9,83,2,14,0,0,0,0,1,0,0,0,0,0,2
23,9,84,5,14,0,0,0,0,1,0,1,0,0,0,3
23,9,85,1,14,0,0,1,0,1,1,0,0,1,1,1
23,9,86,3,15,0,0,1,0,1,0,1,0,1,1,3
23,9,87,1,15,1,0,1,0,1,1,0,0,2,4,1
24,11,81,2,10,0,0,0,0,1,0,0,0,0,0,2
24,11,82,4,10,0,0,0,0,1,0,1,0,0,0,3
24,11,83,5,10,0,1,0,0,1,0,1,0,1,1,3
24,11,84,5,10,0,1,1,0,1,0,1,0,2,4,3
24,11,85,5,10,0,1,2,0,1,0,1,0,3,9,3
24,11,86,3,10,0,1,3,0,1,0,1,0,4,16,3
24,11,87,3,10,1,1,3,0,1,0,1,0,5,25,3
25,9,81,2,11,0,0,0,0,1,0,0,0,0,0,2
25,9,82,2,11,0,0,0,0,1,0,0,0,0,0,2
25,9,83,2,11,0,0,0,0,1,0,0,0,0,0,2
25,9,84,2,11,0,0,0,0,1,0,0,0,0,0,2
25,9,85,2,11,0,0,0,0,1,0,0,0,0,0,2
25,9,86,2,11,0,0,0,0,1,0,0,0,0,0,2
25,9,87,4,11,0,0,0,0,1,0,1,0,0,0,3
26,8,81,1,10,0,0,0,0,1,1,0,0,0,0,1
26,8,82,1,11,0,0,0,0,1,1,0,0,0,0,1
26,8,83,5,12,0,0,0,0,1,0,1,0,0,0,3
26,8,84,5,12,0,0,1,0,1,0,1,0,1,1,3
26,8,85,5,12,0,0,2,0,1,0,1,0,2,4,3
26,8,86,2,12,0,0,3,0,1,0,0,0,3,9,2
26,8,87,5,12,0,0,3,0,1,0,1,0,3,9,3
27,11,81,4,12,0,2,0,1,1,0,1,0,2,4,3
27,11,82,4,12,0,3,0,1,1,0,1,0,3,9,3
27,11,83,2,12,0,4,0,0,1,0,0,0,4,16,2
27,11,84,4,12,0,4,0,0,1,0,1,0,4,16,3
27,11,85,2,12,0,5,0,0,1,0,0,0,5,25,2
27,11,86,2,12,0,5,0,0,1,0,0,0,5,25,2
27,11,87,4,12,0,5,0,0,1,0,1,0,5,25,3
28,11,81,5,12,0,0,0,0,1,0,1,0,0,0,3
28,11,82,5,12,0,0,1,0,1,0,1,0,1,1,3
28,11,83,3,12,0,0,2,0,1,0,1,0,2,4,3
28,11,84,3,12,1,0,2,0,1,0,1,0,3,9,3
28,11,85,3,12,2,0,2,0,1,0,1,0,4,16,3
28,11,86,2,12,3,0,2,0,1,0,0,0,5,25,2
28,11,87,3,12,3,0,2,0,1,0,1,0,5,25,3
29,8,81,1,10,0,0,0,0,1,1,0,0,0,0,1
29,8,82,1,11,0,0,0,0,1,1,0,0,0,0,1
29,8,83,1,12,0,0,0,0,1,1,0,0,0,0,1
29,8,84,1,13,0,0,0,0,1,1,0,0,0,0,1
29,8,85,4,14,0,0,0,1,1,0,1,0,0,0,3
29,8,86,4,14,0,1,0,1,1,0,1,0,1,1,3
29,8,87,4,14,0,2,0,1,1,0,1,0,2,4,3
32,8,81,1,10,0,0,0,0,1,1,0,0,0,0,1
32,8,82,1,11,0,0,0,0,1,1,0,0,0,0,1
32,8,83,2,12,0,0,0,0,1,0,0,0,0,0,2
32,8,84,2,12,0,0,0,0,1,0,0,0,0,0,2
32,8,85,2,12,0,0,0,0,1,0,0,0,0,0,2
32,8,86,2,12,0,0,0,0,1,0,0,0,0,0,2
32,8,87,2,12,0,0,0,0,1,0,0,0,0,0,2
35,9,81,2,11,0,0,0,0,1,0,0,0,0,0,2
35,9,82,2,11,0,0,0,0,1,0,0,0,0,0,2
35,9,83,2,11,0,0,0,0,1,0,0,0,0,0,2
35,9,84,2,11,0,0,0,0,1,0,0,0,0,0,2
35,9,85,2,11,0,0,0,0,1,0,0,0,0,0,2
35,9,86,2,11,0,0,0,0,1,0,0,0,0,0,2
35,9,87,3,11,0,0,0,0,1,0,1,0,0,0,3
36,10,81,2,9,0,0,0,0,1,0,0,0,0,0,2
36,10,82,2,9,0,0,0,0,1,0,0,0,0,0,2
36,10,83,2,9,0,0,0,0,1,0,0,0,0,0,2
36,10,84,2,9,0,0,0,0,1,0,0,0,0,0,2
36,10,85,5,9,0,0,0,0,1,0,1,0,0,0,3
36,10,86,5,9,0,0,1,0,1,0,1,0,1,1,3
36,10,87,5,9,0,0,2,0,1,0,1,0,2,4,3
37,9,81,1,10,0,0,0,0,1,1,0,0,0,0,1
37,9,82,2,11,0,0,0,0,1,0,0,0,0,0,2
37,9,83,2,11,0,0,0,0,1,0,0,0,0,0,2
37,9,84,2,11,0,0,0,0,1,0,0,0,0,0,2
37,9,85,5,11,0,0,0,0,1,0,1,0,0,0,3
37,9,86,2,11,0,0,1,0,1,0,0,0,1,1,2
37,9,87,4,11,0,0,1,0,1,0,1,0,1,1,3
38,4,81,2,11,0,0,0,0,1,0,0,0,0,0,2
38,4,82,2,11,0,0,0,0,1,0,0,1,0,0,2
39,8,81,1,11,0,0,0,0,1,1,0,0,0,0,1
39,8,82,3,12,0,0,0,0,1,0,1,0,0,0,3
39,8,83,3,12,1,0,0,0,1,0,1,0,1,1,3
39,8,84,3,12,2,0,0,0,1,0,1,0,2,4,3
39,8,85,4,12,3,0,0,0,1,0,1,0,3,9,3
39,8,86,5,12,3,1,0,0,1,0,1,0,4,16,3
39,8,87,5,12,3,1,1,0,1,0,1,0,5,25,3
40,10,81,2,12,0,0,0,0,1,0,0,0,0,0,2
40,10,82,4,12,0,0,0,0,1,0,1,0,0,0,3
40,10,83,4,12,0,1,0,0,1,0,1,0,1,1,3
40,10,84,4,12,0,2,0,0,1,0,1,0,2,4,3
40,10,85,4,12,0,3,0,0,1,0,1,0,3,9,3
40,10,86,4,12,0,4,0,1,1,0,1,0,4,16,3
40,10,87,3,12,0,5,0,0,1,0,1,0,5,25,3
41,8,81,4,9,0,1,0,0,1,0,1,0,1,1,3
41,8,82,2,9,0,2,0,0,1,0,0,0,2,4,2
41,8,83,5,9,0,2,0,0,1,0,1,0,2,4,3
41,8,84,2,9,0,2,1,0,1,0,0,0,3,9,2
41,8,85,4,9,0,2,1,0,1,0,1,0,3,9,3
41,8,86,5,9,0,3,1,0,1,0,1,0,4,16,3
41,8,87,4,9,0,3,2,0,1,0,1,0,5,25,3
42,9,81,2,10,0,0,0,0,1,0,0,0,0,0,2
42,9,82,2,10,0,0,0,0,1,0,0,0,0,0,2
42,9,83,2,10,0,0,0,0,1,0,0,0,0,0,2
42,9,84,2,10,0,0,0,0,1,0,0,0,0,0,2
42,9,85,2,10,0,0,0,0,1,0,0,0,0,0,2
42,9,86,2,10,0,0,0,0,1,0,0,0,0,0,2
42,9,87,2,10,0,0,0,0,1,0,0,0,0,0,2
43,10,81,2,13,0,0,0,0,1,0,0,0,0,0,2
43,10,82,2,13,0,0,0,0,1,0,0,0,0,0,2
43,10,83,4,13,0,0,0,0,1,0,1,0,0,0,3
43,10,84,2,13,0,1,0,0,1,0,0,0,1,1,2
43,10,85,4,13,0,1,0,1,1,0,1,0,1,1,3
43,10,86,2,13,0,2,0,0,1,0,0,0,2,4,2
43,10,87,2,13,0,2,0,0,1,0,0,0,2,4,2
45,11,81,1,13,0,0,0,0,1,1,0,0,0,0,1
45,11,82,1,14,0,0,0,0,1,1,0,0,0,0,1
45,11,83,3,15,0,0,0,0,1,0,1,0,0,0,3
45,11,84,3,15,1,0,0,0,1,0,1,0,1,1,3
45,11,85,3,15,2,0,0,0,1,0,1,0,2,4,3
45,11,86,3,15,3,0,0,0,1,0,1,0,3,9,3
45,11,87,3,15,4,0,0,0,1,0,1,0,4,16,3
46,9,81,2,9,0,0,0,0,1,0,0,0,0,0,2
46,9,82,2,9,0,0,0,0,1,0,0,0,0,0,2
