"","x"
"1",4742
"2",6128
"3",6494
"4",5379
"5",6011
"6",7003
"7",9164
"8",10333
"9",9614
"10",9545
"11",10096
"12",13277
"13",15711
"14",13135
"15",13077
"16",15453
"17",15995
"18",18071
"19",20291
"20",20175
"21",18975
"22",17928
"23",19782
"24",26055
"25",29856
"26",26879
"27",24485
"28",27745
"29",27282
"30",29418
"31",29908
"32",29278
"33",26002
"34",23826
"35",22302
"36",27565
"37",31486
"38",28207
"39",27669
"40",27559
"41",27924
"42",27528
"43",27410
"44",24887
"45",21904
"46",19598
"47",19037
"48",22469
"49",23781
"50",20020
"51",18177
"52",17732
"53",16765
"54",16310
"55",14897
"56",12940
"57",11465
"58",10364
"59",11738
"60",17633
"61",19257
"62",20941
"63",29718
"64",35025
"65",45110
"66",57154
"67",61499
"68",62090
"69",59561
"70",48531
"71",47541
"72",56756
"73",56755
"74",49740
"75",45870
"76",49136
"77",47256
"78",46324
"79",45453
"80",42333
"81",36851
"82",33952
"83",33392
"84",43153
"85",46178
"86",40482
"87",36394
"88",37142
"89",36424
"90",38188
"91",37174
"92",31869
"93",26575
"94",21758
"95",20978
"96",29555
"97",28649
"98",24226
"99",21955
"100",19937
"101",18287
"102",18129
"103",17072
"104",14924
"105",12491
"106",11160
"107",10658
"108",15451
"109",15831
"110",13698
"111",12111
"112",12690
"113",12585
"114",12855
"115",12137
"116",10977
"117",9993
"118",9614
"119",10459
"120",20509
"121",19490
"122",17611
"123",16206
"124",17560
"125",18082
"126",19482
"127",19200
"128",18918
"129",17375
"130",16122
"131",17269
"132",26261
"133",24911
"134",21969
"135",21956
"136",20944
"137",22200
"138",24002
"139",22951
"140",20143
"141",17187
"142",15287
"143",17394
"144",26321
"145",26943
"146",23735
"147",20744
"148",21090
"149",21502
"150",21275
"151",19426
"152",16798
"153",14209
"154",13357
"155",14766
"156",25092
"157",23460
"158",19551
"159",15898
"160",16012
"161",16054
"162",15910
"163",13873
"164",11854
"165",10138
"166",9942
"167",11262
"168",19601
"169",17778
"170",13854
"171",12681
"172",11328
"173",11946
"174",13043
"175",12785
"176",11937
"177",11383
"178",10282
"179",11316
"180",19652
"181",18337
"182",16779
"183",15504
"184",17258
"185",18264
"186",19184
"187",19453
"188",18741
"189",19087
"190",18171
"191",20825
"192",36441
"193",37486
"194",37303
"195",37639
"196",36536
"197",35850
"198",41581
"199",42979
"200",42490
"201",37992
"202",32454
"203",34049
"204",47598
"205",48622
"206",39868
"207",34511
"208",37234
"209",36675
"210",37945
"211",36593
"212",31669
"213",28682
"214",25944
"215",28443
"216",40232
"217",46847
"218",38315
"219",32600
"220",33349
"221",30598
"222",32009
"223",37599
"224",45999
"225",54945
"226",68394
"227",85735
"228",140772
"229",182260
"230",184177
"231",157547
"232",168471
"233",159020
"234",160748
"235",169631
"236",170927
"237",179898
"238",176471
"239",184528
"240",231311
"241",248619
"242",215342
"243",192024
"244",178765
"245",182397
"246",188423
"247",197159
"248",198648
"249",195864
"250",194125
"251",192866
"252",215655
"253",229415
"254",245395
"255",236383
"256",226807
"257",239984
"258",250309
"259",253809
"260",254863
"261",249551
"262",254085
"263",238332
"264",256223
"265",269896
"266",298455
"267",290356
"268",283308
"269",272384
"270",286091
"271",290718
"272",285424
"273",284642
"274",279874
"275",278829
"276",311279
"277",341877
"278",357463
"279",334400
"280",332572
"281",318905
"282",311232
"283",310000
"284",303800
"285",299566
"286",286241
"287",282902
"288",297782
"289",334495
"290",334265
"291",316776
"292",309300
"293",308989
"294",311232
"295",313943
"296",303555
"297",290386
"298",283822
"299",284842
"300",299500
"301",339700
"302",347400
"303",325500
"304",315200
"305",314900
"306",314500
"307",313700
"308",318500
"309",306000
"310",299500
"311",289800
"312",304700
"313",351425
"314",372288
"315",358536
"316",356004
"317",375626
"318",390664
"319",404840
"320",421856
"321",446341
"322",465959
"323",493446
"324",562592
"325",601931
"326",632837
"327",622819
"328",622162
"329",633272
"330",635002
"331",634020
"332",622103
"333",610379
"334",599100
"335",591442
"336",629214
"337",674424
"338",667059
"339",626653
"340",602100
"341",600344
"342",584506
"343",580347
"344",570553
"345",565348
"346",555279
"347",552893
"348",576900
"349",636841
"350",636342
"351",599092
"352",580700
"353",568574
"354",561400
"355",553644
"356",541022
"357",534700
"358",522587
"359",520756
"360",552300
"361",609987
"362",603156
"363",578700
"364",568400
"365",569966
"366",569761
"367",573989
"368",573735
"369",566245
"370",556055
"371",540527
"372",560166
"373",623079
"374",619978
"375",592892
"376",582102
"377",561698
"378",550850
"379",536522
"380",525650
"381",515893
"382",492248
"383",481236
"384",495772
"385",517127
"386",511023
"387",493993
"388",483400
"389",481469
"390",475070
"391",472806
"392",458767
"393",441201
"394",428578
"395",419052
"396",420900
"397",448572
"398",441100
"399",409708
"400",393323
"401",391918
"402",390001
"403",383839
"404",377968
"405",368060
"406",360246
"407",357443
"408",374530
"409",385727
"410",398961
"411",390149
"412",391108
"413",411171
"414",427931
"415",441335
"416",450824
"417",452304
"418",457658
"419",480083
"420",523798
"421",567249
"422",580777
"423",596890
"424",616326
"425",647415
"426",676706
"427",701677
"428",709801
"429",718748
"430",720754
"431",730105
"432",751348
"433",779868
"434",816124
"435",818102
"436",826297
"437",838390
"438",851831
"439",856505
