"","x"
"1",30.052513
"2",19.148496
"3",25.317692
"4",27.591437
"5",32.076456
"6",23.487961
"7",28.47594
"8",35.123753
"9",36.838485
"10",25.007017
"11",30.72223
"12",28.693759
"13",36.640986
"14",23.824609
"15",29.311683
"16",31.770309
"17",35.177877
"18",19.775244
"19",29.60175
"20",34.538842
"21",41.273599
"22",26.655862
"23",28.279859
"24",35.191153
"25",42.2056638559382
"26",24.6491713296294
"27",32.6673351386246
"28",37.2573540134764
"29",45.2424602720635
"30",29.3504812742718
"31",36.3442072775119
"32",41.7820813647366
"33",49.2765984345619
"34",31.2754013898459
"35",37.8506254947152
"36",38.83704413019
"37",51.236900336137
"38",31.8385516171558
"39",41.3234212576972
"40",42.7990033724349
"41",55.708358364385
"42",33.4071449171312
"43",42.3166379718116
"44",45.1571225674731
"45",59.5760799633937
"46",34.8373301595328
"47",44.8416807241332
"48",46.971249602779
"49",60.0190309438716
"50",38.3711785132276
"51",46.9758641283558
"52",50.7337964560878
"53",61.6468731860574
"54",39.2995693656296
"55",52.6712090814052
"56",54.3323168946667
"57",66.834358381339
"58",40.8711884667851
"59",51.8285357927739
"60",57.4919099342262
"61",65.2514698518726
"62",43.0612082202828
"63",54.7607571288007
"64",59.8344749355003
"65",73.2570274672009
"66",47.6966237298
"67",61.0977680206996
"68",66.0557612187001
